credit_score,annual_income,loan_amount,loan_term_years,risk_label
724,42658,18215,2,0
693,41658,21945,5,0
732,14235,19026,3,0
776,45978,26104,4,1
688,107609,36971,4,0
688,21603,17289,2,0
778,138522,35008,3,0
738,88452,17183,5,1
676,33276,16523,2,0
727,53464,33185,2,1
676,215056,34219,4,0
676,107671,33514,3,0
712,60296,11842,2,0
604,49506,20340,4,0
613,63658,33229,5,0
671,39758,25415,2,0
649,11116,14263,5,0
715,306735,29583,5,0
654,67796,17851,4,0
629,82332,42945,3,0
773,57163,40448,5,0
688,33253,31040,2,0
703,51599,38610,3,0
628,16655,25647,3,0
672,370152,32654,4,0
705,22301,39777,2,0
642,26223,27454,2,0
718,42099,22448,4,0
669,167788,7953,4,0
685,60573,24168,3,0
669,22272,33234,5,0
792,163320,34456,5,1
699,107452,30043,5,0
647,92110,19587,5,0
741,106147,5231,2,0
638,406561,20047,2,0
710,343889,21956,4,0
602,34566,21870,4,0
633,219500,31185,5,0
709,81351,44856,4,0
736,89257,26235,2,0
708,15462,22832,5,0
694,52244,22407,5,0
684,31248,26243,2,1
626,116127,16717,3,0
664,141049,26201,5,0
676,11389,29508,4,0
752,58827,27096,3,0
717,146897,29575,2,0
611,51568,29337,3,0
716,107285,7281,3,0
680,79295,31368,5,0
666,78694,18289,3,0
730,48191,14041,4,0
751,22623,13955,5,1
746,24410,29335,2,0
658,105607,22774,4,0
684,60813,8180,5,0
716,53593,29780,3,0
748,42654,10603,4,0
676,46903,26398,5,0
690,138348,27384,5,0
644,45789,33855,2,0
640,20478,42816,5,0
740,108545,11353,2,0
767,50822,24475,3,0
696,61397,22236,5,0
750,216655,29337,5,0
718,58897,27156,3,0
667,75459,21474,5,0
718,23315,20590,5,0
776,50224,13835,4,0
698,97501,34878,2,0
778,17252,29592,5,0
569,70310,34177,5,0
741,64901,21896,2,0
704,61884,18431,4,0
685,137273,14216,2,0
704,78241,28589,5,0
600,195332,14602,3,0
689,27041,43486,3,0
717,66752,11923,4,0
773,64059,27736,4,0
674,25453,40668,5,0
659,128673,30990,4,1
674,384515,26756,5,0
745,59065,15315,3,0
716,89681,11182,4,0
673,64062,32700,5,0
725,33830,40061,2,0
704,13952,20611,4,1
748,34043,13609,5,0
664,19661,418,5,0
683,234048,15192,2,0
680,54606,23863,3,0
626,45399,40991,2,0
714,121944,31731,5,0
713,24406,28050,2,0
700,32419,20998,2,0
688,63225,19168,5,0
629,136354,39056,3,0
678,89442,27007,2,0
682,73032,3973,2,0
659,63735,18264,4,0
691,82469,16417,4,0
720,70355,19537,5,0
794,26265,30629,5,0
708,62122,23925,5,1
712,25363,24231,4,1
696,63886,38134,5,0
604,40761,18035,2,1
698,456573,43641,2,0
703,57993,18286,3,0
823,19469,25891,5,0
690,53779,22187,2,0
715,90715,26234,2,0
698,228362,29445,3,0
641,37363,29338,2,0
757,16882,17468,3,0
737,115089,13770,3,0
739,19841,50031,4,0
654,42238,20160,2,1
770,48722,31992,4,0
629,56629,8923,2,0
729,103915,22203,4,0
809,34651,23728,3,0
650,48098,29728,3,0
671,59194,-2224,3,0
704,67486,26661,3,0
674,64748,13502,2,0
622,84863,28243,5,0
703,117603,14636,2,0
646,81969,16445,4,0
723,86065,22263,2,0
654,16885,14476,2,0
777,62329,20244,4,0
660,87869,13066,3,0
683,107275,6668,4,0
740,34410,35179,4,0
638,35339,12039,5,1
711,37824,23213,5,0
765,91962,32528,3,0
619,136913,18850,4,0
709,43218,16748,4,0
712,123793,27262,4,0
739,66090,36179,2,0
638,54207,13306,5,0
633,50558,23498,5,0
726,108802,7675,3,0
714,77688,21067,5,0
712,369778,25342,5,1
717,30279,16453,3,0
665,90624,20430,4,0
711,39208,10917,2,0
714,29868,25770,3,0
664,59355,35556,5,1
793,66828,14028,3,0
723,618182,18773,5,0
640,51672,30025,4,1
732,24242,37120,4,0
651,74489,10068,4,0
739,11387,23312,5,0
757,55627,27831,3,0
658,60646,23979,5,0
748,113060,232,4,0
720,130469,30010,4,0
741,40020,40193,4,0
794,53077,26166,5,0
687,32438,14688,2,1
662,24283,19868,4,0
655,76719,42699,3,0
659,21614,34099,4,0
696,42971,31400,5,0
717,27007,28564,3,0
713,92943,18388,5,0
741,252999,22994,2,0
700,21135,24220,2,1
772,13596,30495,5,0
686,54181,40089,4,0
836,60630,36183,3,0
731,71319,10806,4,0
657,41895,27239,5,0
646,50995,32367,5,0
724,80338,31188,4,0
688,137632,18707,3,0
735,12531,54141,3,0
723,44571,12229,3,0
696,71043,14168,3,0
657,28727,27335,3,0
624,239171,46168,2,0
677,36014,16638,2,0
742,57928,22341,5,0
710,93415,35772,2,0
637,37308,24821,3,0
708,13667,21653,3,0
719,42492,30656,3,0
655,136428,27725,5,0
707,45728,35304,5,1
702,30419,37914,4,0
642,125559,28070,2,0
717,45953,27917,2,1
728,39809,27141,4,0
754,67478,29891,4,0
752,110923,25551,2,0
631,402467,24993,3,0
653,116051,36966,2,1
725,151428,40161,3,0
725,39943,9924,5,0
725,26352,25100,2,0
892,62935,18113,2,0
728,65233,21890,5,0
756,25265,29025,5,1
747,52039,31694,5,1
732,82409,23878,5,0
684,79882,5866,5,0
737,89628,15349,4,0
661,75566,33964,4,1
688,39910,-2404,5,0
675,39690,36874,5,0
704,22944,30212,5,0
815,249651,38161,5,0
606,60521,23014,3,0
734,50016,4385,3,0
619,28480,29303,5,0
676,626889,37746,5,0
754,25370,34247,2,0
703,42485,18373,5,0
646,83505,25867,5,0
664,96777,19671,4,0
733,128842,16807,3,0
663,254253,34553,5,0
710,89762,13024,3,0
702,25723,16061,3,0
667,48749,13959,2,0
807,76593,10097,3,0
731,313194,26464,3,0
598,19570,36615,5,0
709,156695,23151,4,1
666,69142,9942,5,0
742,117039,33399,5,0
660,55182,41857,4,0
694,30517,18537,4,1
725,109174,20214,2,0
743,101067,30156,4,1
639,130306,41218,5,0
683,59240,19801,4,0
676,37054,11675,4,0
667,17205,31314,4,0
788,115323,32990,3,0
720,84045,25061,2,0
636,27649,19418,3,0
745,38915,34943,3,0
806,41216,30280,2,0
751,18280,17315,3,0
624,31127,25490,4,0
675,24171,11482,2,1
763,43045,31858,3,0
664,33158,22377,5,0
722,16291,20642,3,0
738,301966,24671,5,0
653,163085,25403,4,0
697,32105,33949,5,0
537,74454,30910,3,0
648,83614,23435,3,0
687,155261,32636,3,0
637,31104,29007,2,0
781,143441,20734,2,0
628,38625,23752,3,0
677,20564,23517,3,0
706,106863,30052,4,0
772,168149,21329,2,1
